,name,color,mat,sty,occa,patt,info,price,path
20,絲絨牛仔布迷你裙,黑色,棉,"Casual, contemporary, minimalist.",Casualwear,"Solid, monochromatic.",混搭風設計將嫵媚剪裁結合街頭服飾常用的面料。原色絲絨牛仔布迷你裙經加工處理，營造褪色效果，為服飾注入復古魅力。,"NT$ 36,000",image/prada/woman/21.jpg
21,印花廣東縐紗迷你裙,可可棕,絲,"Classic, preppy, tailored.","Casual, office, or smart-casual occasions.","Checkered, houndstooth, plaid.",這款迷你裙以輕巧的廣東縐紗縫製，綴以雋永的千鳥格紋印花，剪裁流麗，展現時尚端莊的復古氣息。,"NT$ 73,000",image/prada/woman/22.jpg
22,納帕軟皮外套,黑色,皮革,"Classic, sleek, modern, textured, stylish.",Casual,Pebbled texture,外套採用標準剪裁，將流麗線條結合納帕皮革的休閒氣息。標誌標誌標籤為服飾增添品牌格調。,"NT$ 175,000",image/prada/woman/23.jpg
23,納帕軟皮半截裙,黑色,皮革,"Chic, modern, minimalist","Casual, evening, or party.","Solid, textured.",半截裙採用標準剪裁，將流麗線條結合納帕皮革的休閒氣息。三角形標誌飾章為服飾增添品牌格調。,"NT$ 62,000",image/prada/woman/24.jpg
24,絲絨五口袋牛仔褲,黑色,棉,"Classic, casual, velvet-textured, black.","Casual, smart-casual events.","Solid, unpatterned",這款絲絨牛仔褲設計經典，獨特的原色潤飾呈現復古氣息。款式線條柔和，並以搪瓷金屬三角形標誌錦上添花，背面的飾章綴以經典的典藏標誌。,"NT$ 43,000",image/prada/woman/25.jpg
25,絲絨牛仔布束腰外套,黑色,棉,"Contemporary, sleek, minimalist.",Casual outings or everyday wear.,"Solid, monochromatic",束腰外套線條簡潔，配搭觸感柔軟的絲絨牛仔布，締造復古造型。這款剪裁寬鬆的服飾採用恤衫款衣領，所綴上的優雅搪瓷金屬三角形標誌，把Mario Prada 1913年為其奢華行李箱設計的標誌重新演繹。,"NT$ 86,000",image/prada/woman/26.jpg
26,羊絨皮草外套,黑色,綿羊皮,"Elegant, classic, luxurious, modern.","Formal, winter.","Solid, uniform",羊絨皮企領外套感覺雅致柔軟。時尚設計設有闊嵌線袋，飾以標誌標籤飾章。,"NT$ 270,000",image/prada/woman/27.jpg
27,絲絨牛仔布束腰外套,黑色,棉,"Chic, sophisticated, minimalist, contemporary.","Casual, streetwear, everyday.",Solid-color,束腰外套線條簡潔，配搭觸感柔軟的絲絨牛仔布，締造復古造型。這款剪裁方正的服飾採用恤衫款衣領，所綴上的優雅搪瓷金屬三角形標誌，把Mario Prada 1913年為其奢華行李箱設計的標誌重新演繹。,"NT$ 75,000",image/prada/woman/28.jpg
28,Grain de poudre羊毛長褲,Grain De Poudre羊毛長褲 黑色,羊毛,"Tailored, formal, sophisticated.","Business, formal events, office work.","Solid, plain, no-pattern.",復古的設計元素與端莊時尚的風格共冶一爐。這款Grain de poudre羊毛長褲以優雅的男裝剪裁為特色。,"NT$ 51,000",image/prada/woman/29.jpg
29,絲絨牛仔短褲,黑色,棉,"Casual, contemporary, simplistic.","Casual, summer, leisure","Solid, monochromatic",這款絲絨牛仔短褲綴上復古風細節，造型則洋溢時尚魅力。搪瓷金屬三角形標誌為設計增添經典特色。,"NT$ 30,500",image/prada/woman/30.jpg
30,羊絨皮草大褸,黑色,綿羊皮,"Elegant, classic, luxurious, sophisticated.","Formal, winter events.","Solid, black, velvet.",經典女裝剪裁以精緻雋永的細節昇華。羊絨皮草大褸飾以標誌標籤飾章。,"NT$ 275,000",image/prada/woman/31.jpg
31,羅紋針織平織布連身裙,白色,棉,"Simple, casual, sleeveless, fitted.",Casual wear,"Solid, white",平織布連身裙的流麗設計散發時尚魅力，體現簡約中見奢華的品牌格調，儼然成為一種態度，追求重塑基本必需品並賦予嶄新意義。,"NT$ 37,500",image/prada/woman/32.jpg
32,單襟雙層羊毛短外套,駝色/白色,羊毛／絲綢,"Classic, tailored, elegant.","Business, formal, smart-casual events.",Solid,無領短外套選用雙層羊毛，設計百搭優雅，展現流麗簡約的線條。,"NT$ 170,000",image/prada/woman/33.jpg
33,羊駝毛圓領毛衣,白色,皮草,"Elegant, contemporary, textured, designer, minimalistic.","Casual, everyday wear.","Knitted, ribbed, logo-embossed",透過層次感和精緻的細節，這款羊駝毛圓領毛衣的剪裁透露高雅氣質，並搭配精緻的針織紋理。寬鬆剪裁配有羊毛正面鑲片，而印字標誌則更顯獨特。,"NT$ 82,000",image/prada/woman/34.jpg
34,羊絨圓領毛衣,石板灰,羊絨,"Minimalist, classic, understated.","Casual, Everyday Wear","Solid, heathered gray, no visible pattern.",這款經典的圓領毛衣以簡潔的設計重新詮釋，搭配精緻的細節和物料，散發當化時尚氣息。這款精緻安哥拉山羊毛短袖上衣採用貼身剪裁，搭配皮革標誌繡章，為造型增添經典風格。,"NT$ 68,000",image/prada/woman/35.jpg
35,平織布上衣,白色,棉,"Minimalist, casual, contemporary",Casual wear,"Solid, monochromatic.",實用服飾獲得嶄新的重要意義和價值。背心上衣呈現經典男裝線條，以嫵媚質感重塑。服飾體現Prada精髓，簡約中見奢華。正面飾以奪目的三角形標誌。,"NT$ 28,000",image/prada/woman/36.jpg
36,珠地呢混馬海毛開襟外套,黑色,羊毛,"Classic, textured, elegant","Casual, semi-formal events, everyday wear.","Bouclé, textured, solid-black",這款珠地呢混馬海毛開襟外套以寬鬆剪裁重新演繹高雅風格，散發時尚魅力。圓領設計配以七分袖，並綴飾閃亮的復古風格金色鈕釦。背面的布質三角標誌裝飾為此典雅而百搭的外套注入經典氣息。,"NT$ 70,000",image/prada/woman/37.jpg
37,茄士咩羊絨絲質開襟外套,黑色/白色,羊絨,"Classic, preppy.",Smart-casual events.,"Color-block, two-tone, trim.",此款茄士咩羊絨開襟外套採用柔軟羊絨和絲針織製成，選用修身剪裁，設計優雅且精緻。此短袖外套利用金色鈕扣散發璀璨光芒，並以對比色飾邊作定調，最後以具標誌性的針織三角標誌完成點綴。,"NT$ 105,000",image/prada/woman/38.jpg
38,珠地呢安哥拉山羊毛針織裙,黑色,羊毛,"Textured, classic, minimalist.","Casual, Everyday, Work","Solid, textured, monochromatic.",珠地呢半身裙的設計經典雅致，現以獨特風格重新演繹，散發時尚魅力。採用精緻安哥拉山羊毛製成，傘裙剪裁為衣物帶來柔和感，散發時尚魅力。背面同色系三角標誌為裙子添上一抹經典點綴。,"NT$ 51,000",image/prada/woman/39.jpg
39,洗水斜紋布連身迷你裙,黑色,羊毛,"Elegant, sophisticated, modern, minimalist.","Business, formal events, elegant social gatherings.",Solid-color,這款連身迷你裙散發 1960 年代的氛圍，以時尚的洗水效果柔軟斜紋布製作。簡約線條配以精準的剪裁，立體結構採用圓領設計。金色安全扣針為連身裙帶來意想不到且時尚的點綴。這款精緻而柔美的連身裙綴飾皮革標誌標籤，為不褪流行的設計注入經典氣息。,"NT$ 79,000",image/prada/woman/40.jpg
40,珠地呢混馬海毛開襟外套,白色,羊毛,"Classic, textured, elegant","Casual, outerwear.","Bouclé, texture, monochromatic",這款珠地呢混馬海毛開襟外套以寬鬆剪裁重新演繹高雅風格，散發時尚魅力。圓領設計配以七分袖，並綴飾閃亮的復古風格金色鈕釦。背面的布質三角標誌裝飾為此典雅而百搭的外套注入經典氣息。,"NT$ 70,000",image/prada/woman/41.jpg
41,珠地呢安哥拉山羊毛迷你裙,白色,羊毛,"Textured, chic, contemporary","Casual, autumnal, daytime.","Texture, buttons.",這條精緻的珠地呢混馬海毛迷你裙散發清新、時尚魅力。採用修身柔和設計，擁有簡潔的線條，並綴飾閃亮的復古風格鈕釦。背面的布質三角標誌裝飾為此典雅而百搭的外套注入經典氣息。,"NT$ 60,000",image/prada/woman/42.jpg
42,絲質羊絨圓領毛衣,白色/黑色,羊絨,"Whimsical, playful, quirky.",Casual,"Color-blocking, animal-face, contrasting-hemlines",此款優雅精緻的毛衣採用修身剪裁，利用上乘的羊絨和絲製成，並以精緻的細節作為主打特色。其短袖造型以羅紋針織圓領和袖口飾邊作定調，最後以經典獨特的針織三角標誌完成綴飾。,"NT$ 97,000",image/prada/woman/43.jpg
43,Natté 短褲,白色,羊毛,"Modern, minimalist, chic.","Summer, casual, outing.",Solid.,柔美的 Natté 短褲透露現代時尚女性韻味。別具當代魅力的設計，飾以皺褶翻蓋大口袋與金色調標誌鈕釦，更顯迷人。,"NT$ 53,000",image/prada/woman/44.jpg
44,Natté 連身迷你裙,白色,羊毛,"Minimalist, sophisticated, contemporary.","Business-casual, summer, daytime event.","Solid, textured",這款 natté 連身迷你裙採用俐落的筆直線條，綴飾典雅的細節，展現時尚風格。弧領剪裁配以金色鈕釦翻蓋明袋和皮革標誌拼布，以精緻元素增添高雅魅力。,"NT$ 83,000",image/prada/woman/45.jpg
45,羊毛開襟外套,藍色,羊毛,"Classic, elegant, textured, buttoned.","Casual, everyday wear.","Ribbed, cable-knit.",這款羅紋針織羊毛開襟外套流露時尚典雅的氣息，綴飾閃亮的金色鈕釦和精緻細節。圓領外形配以寬鬆剪裁，以及翻蓋明袋和皮革標誌拼布，為服裝添上時尚點綴。,"NT$ 100,000",image/prada/woman/46.jpg
46,羊毛迷你裙,藍色,羊毛,Minimalist,"Business, formal events, work environments.",Ribbed knit.,這條精緻羊毛迷你裙採用羅紋針織紋理，綴以典雅細節。柔和且線條簡潔的修身剪裁設計，搭配點綴復古金釦的大貼袋，為造型增色不少。皮革標誌拼布為精緻且時尚設計添上點綴。,"NT$ 60,000",image/prada/woman/47.jpg
47,Superfine wool sweater with intarsia logo,Superfine Wool Sweater With Intarsia Logo 白色/藍色,羊毛,"Contemporary, branded, patterned",Casualwear,"Striped, branded, horizontal, repetitive.","This short-sleeved sweater made of superfine wool has soft lines and a relaxed fit. The refined, light garment features the intarsia lettering logo in a contrasting color, repeated in a pattern with contemporary allure.","NT$ 51,000",image/prada/woman/48.jpg
48,雙排釦布質大衣,藍色,羊毛,"Classic, tailored, sophisticated.","Business, formal events, workwear.","Solid, navy-blue",這款大衣靈感源自水手服裝，透過對剪裁的細緻研究注入原創、現代魅力。這款外套以短身剪裁為特色，呈現嶄新的比例，直身和寬鬆剪裁展現獨特風格。簡潔而精緻的細節設計為服裝錦上添花，經典的翻領設計配上優雅的雙排扣和大鈕釦，展現高雅風格。,"NT$ 110,000",image/prada/woman/49.jpg
49,馬海小山羊毛長褲,黑色,羊毛,"Elegant, formal, classic, tailored.","Formal events, business settings, office wear.","Solid, plain",馬海小山羊毛長褲的裁縫魅力反映品牌的專業造詣，寬鬆男裝剪裁昇華女裝西裝的嶄新概念，傳統元素與標誌印花橡筋褲頭的時尚氣息碰撞出和諧對比 。,"NT$ 62,000",image/prada/woman/50.jpg
50,特大尺寸 Re-Nylon 羽絨背心,特大尺寸 Re-nylon 羽絨背心 黑色,尼龍,"Sleek, contemporary, insulated.","Cold-weather, casual, outdoor activities.","Solid, quilted",此背心以鵝絨填充，以方形剪裁為特色。這特大尺寸款式以 Re-Nylon 製作，此創新的再生尼龍紗線利用從海洋回收所得並經淨化的塑膠再造而成。靈活易搭的設計結合實用元素和時尚的飽滿設計，背面綴飾立體效果壓紋字母標誌。,"NT$ 110,000",image/prada/woman/51.jpg
51,平織布T恤,白色/黑色,棉,"Contemporary, designer, sporty, chic.",Casualwear,"Two-tone, color-blocking, logo-emblazoned.",這款街頭風雙色平織布T恤融入復古元素，洋溢時尚氣息。綴於正面的特大標誌為設計錦上添花。,"NT$ 23,500",image/prada/woman/52.jpg
52,棉質尼龍短褲,黑色,棉,"Minimalist, modern.","Casual, sportswear, athletic.",Solid,棉質尼龍短褲飾以精細的Punto Stoffa針織。腰部的對比色標誌搶眼奪目。,"NT$ 39,000",image/prada/woman/53.jpg
53,再生尼龍連身迷你裙,藍色/白色,尼龍,"Contemporary, branded, patterned.","Casual, everyday wear.","Horizontal, brand-name, repetitive, stripes.",歷史悠久的三角形標誌以時尚方式重塑，幻化成圖案點綴再生尼龍連身迷你裙，配以帽兜和彈性索繩。尼龍由Prada率先引入奢華服飾世界，是品牌的經典面料，反映其前衛精神。,"NT$ 95,000",image/prada/woman/54.jpg
54,尼龍束腰外套,藍色/白色,尼龍,"Contemporary, branded, patterned.",Casual,"Logo, diagonal, repetitive, text-based, monogram, branded",歷史悠久的三角形標誌以時尚方式重塑，幻化成圖案點綴寬鬆的尼龍束腰外套，配以帽兜和彈性索繩。尼龍由Prada率先引入奢華服飾世界，是品牌的經典面料，反映其前衛精神。,"NT$ 105,000",image/prada/woman/55.jpg
55,尼龍短褲,藍色/白色,尼龍,"Patterned, branded, casual.","Casual, loungewear, or sleepwear.","Logotype, repetition",歷史悠久的三角形標誌以時尚方式重塑，幻化成圖案點綴闊腳尼龍短褲。尼龍由Prada率先引入奢華服飾世界，是品牌的經典面料，反映其前衛精神。,"NT$ 40,500",image/prada/woman/56.jpg
56,短版 Re-Nylon 羽絨外套,短版 Re-nylon 羽絨外套 黑色/藍色,尼龍,"Trendy, urban, casual.",Casual outdoor wear.,Solid-colored,這款運動風格短版羽絨外套以鵝絨填充，散發休閒魅力。此蓬鬆圓潤的款式以 Re-Nylon 製作。這種創新再生尼龍紗線利用從海洋回收並經淨化的塑膠物料再造而成。嶄新比例配以環形衣領，並綴飾經典搪瓷金屬三角標誌，令外形更為凸出。,"NT$ 92,000",image/prada/woman/57.jpg
57,拉西米爾綢連身迷你裙,黑色,羊毛,"Elegant, classic, simple, sophisticated.","Formal events, business, cocktail parties.","Solid, plain",拉西米爾綢連身迷你裙優雅得體，背面飾以優雅的立體蝴蝶結。搪瓷金屬三角形標誌為奪目嫵媚的服飾畫龍點睛。,"NT$ 75,000",image/prada/woman/58.jpg
58,寬鬆棉質抓毛連帽衛衣,自然色,棉,Casual-luxury,Casual wear,"Logo, stripes.",經典Prada標誌飾以Savoy格調，化為點綴服飾正面的特大設計，為棉質抓毛連帽衛衣注入別具一格的特色。寬鬆衛衣綴以羅紋針織飾邊。,"NT$ 55,000",image/prada/woman/59.jpg
59,機能性面料防水連帽外套,煙灰色/黑色,尼龍,"Fashionable, contemporary, designer.","Casual, urban streetwear.","Solid, logo",這款運動風格機能性面料防水連帽外套設計實用，體現當代美學風格。特大尺寸設計配以包覆式剪裁，飾有拉鏈口袋和插扣腰帶，以束緊腰部。服裝綴飾對比色橡膠標誌。,"NT$ 125,000",image/prada/woman/60.jpg
60,Re-Nylon 羽絨外套,Re-nylon 羽絨外套 黑色,綿羊皮,"Elegant, modern, upscale.","Casual, Winterwear","Solid, quilted, logo",這款羽絨外套結合創新再生尼龍紗線 Re-Nylon 面料的實用性和別開生面的元素，散發時尚魅力。貼身剪裁配以皮帶和可拆除的羊毛衣袖。對比物料和細節令此百搭而精緻的款式更具特色，同時綴飾搪瓷金屬三角標誌。,"NT$ 165,000",image/prada/woman/61.jpg
61,再生尼龍連身迷你裙,黑色,尼龍,"Elegant, sophisticated, minimalistic.","Formal event, business, cocktail party.","Solid, plain.",Prada設計思維以混搭概念為本，讓各種素材、造型和功能薈萃成有趣獨特的配搭，幻化成創新設計。無袖連身迷你裙呈現充滿優雅細節的流麗造型，所選用的創新再生尼龍是以回收自海洋的塑膠廢料淨化及循環再造。連身裙正面的經典三角形萬用袋飾以搪瓷金屬三角形標誌。,"NT$ 64,000",image/prada/woman/62.jpg
62,再生尼龍短褲,黑色,尼龍,"Sporty, casual, minimalistic.","Athletics, Swimming, Casual Wear.","Solid, logo.",運動風短褲取材自運動服飾。服飾綴以Prada經典搪瓷金屬三角形標誌，所選用的再生尼龍紗線以回收自海洋的塑膠廢料淨化製造。,"NT$ 36,500",image/prada/woman/63.jpg
63,牛仔短褲,天藍色,棉,"Casual, contemporary, denim, faded, high-waisted.","Casual, summer, leisure","Denim, fading, whiskering, contrast-stitching.",時尚基本款牛仔短褲採用高腰，綴有對比色明線及為服飾塑造復古質感的褪色處理。後幅的搪瓷金屬三角形標誌搶眼奪目。,"NT$ 39,000",image/prada/woman/64.jpg
64,茄士咩混羊毛Prada標誌圓領毛衣,黑色,羊絨,"Classic, branded, designer, monochromatic, knitwear.","Casual, Designer, Everyday, Urban","Logo, text, emblem.",Prada標誌幻化成嵌花，點綴羊毛混茄士咩圓領毛衣。流麗經典的款式採用男裝剪裁，綴有羅紋針織飾邊。,"NT$ 72,000",image/prada/woman/65.jpg
65,茄士咩混羊毛Prada標誌圓領毛衣,藍色,羊絨,"Designer, luxurious, branded.","Casual, business-casual events.","Logo, text, crest.",Prada標誌幻化成嵌花，點綴羊毛混茄士咩圓領毛衣。流麗經典的款式採用男裝剪裁，綴有羅紋針織飾邊。,"NT$ 72,000",image/prada/woman/66.jpg
66,羊毛混茄士咩圓領毛衣,紅色,羊絨,"Vibrant, designer, branded, knitwear.",Casual,"Logo, text, crest",圓領茄士咩毛衣將流麗百搭的線條結合精湛工藝，展露簡約魅力。服飾採用男裝剪裁，飾以精緻的嵌花字樣標誌。,"NT$ 70,000",image/prada/woman/67.jpg
67,粗斜紋牛仔布背心,黑色,棉,"Classic, casual, monochromatic, utilitarian.",Casual outings,Solid-color,這款背心將經典百搭的造型，與經原色牛仔布處理過的粗斜紋牛仔布鮮明紋理融為一體。此款式風格休閒迷人，飾有經典的搪瓷金屬三角標誌，名牌印有典藏 Prada 標誌，為造型賦予復古魅力。,"NT$ 70,000",image/prada/man/1.jpg
68,絲質 Polo 衫,白色,絲,"Casual, classic, minimalist.",Casual,"Ribbing, vertical stripes, button placket",精緻的針織嵌花凸顯了這款絲質 Polo 衫的時尚經典線條。輕盈精緻的服裝採用現代特大尺寸設計，羅紋針織衣領和飾邊進一步增強了設計的精緻魅力。,"NT$ 70,000",image/prada/man/2.jpg
69,單襟羊毛外套,黑色,羊毛,"Formal, classic, tailored, sophisticated.","Formal events, business settings, interviews, weddings.",Solid,經典西裝經重塑，反映真實世界及世人。日常風格與日常生活均透過物料和造型變得非比尋常。羊毛外套以高雅細節昇華，流露時尚魅力。,"NT$ 130,000",image/prada/man/3.jpg
70,單襟羊毛大褸,黑色,羊毛,"Classic, tailored, formal, elegant.","Formal events, business, or sophisticated occasions.",Solid,對比鮮明的細節勾勒出精紡羊毛大褸的線條。傳統男裝西裝的經典單品經重塑，綴以高雅元素。,"NT$ 150,000",image/prada/man/4.jpg
71,單襟馬海羊毛外套,黑色,羊毛,"Formal, elegant.",Formal events.,"Solid, piping.",對比鮮明的細節勾勒出精紡馬海羊毛外套的線條。傳統男裝西裝的經典單品經重塑，綴以高雅元素。,"NT$ 150,000",image/prada/man/5.jpg
72,羊毛混馬海羊毛長褲,黑色,羊毛,"Formal, tailored, sophisticated.",Formal events or business settings.,"Solid, plain, monochromatic",珍貴的側面嵌飾令馬海羊毛及羊毛混紡長褲別具特色。充滿街頭服飾元素的系列重新詮釋正裝概念，打破傳統的西裝概念。,"NT$ 64,000",image/prada/man/6.jpg
73,羊絨束腰短身外套,黑色,羊絨,"Classic, minimalist.","Casual, Everyday, Sporty, Leisure","Solid, monochrome",傳統美學經重新演繹，注入時尚新意，體現Prada的二元本質 ︰將傳統奢華物料結合創新設計。寬鬆男裝束腰短身外套以奢華羊絨縫製，背面飾以經典布質三角形標誌。,"NT$ 215,000",image/prada/man/7.jpg
74,棉質絲絨束腰外套,黑色,棉,"Minimalist, sleek, modern, sophisticated.","Casual, smart-casual events.","Solid, monochromatic",服飾展現游走於正式與休閒、運動風元素與經典西裝之間的二元性。棉質絲絨束腰外套重新演繹經典Prada設計，綴以正面拉鍊等日常服飾元素。,"NT$ 88,000",image/prada/man/8.jpg
75,彈性棉質恤衫,黑色,棉,"Contemporary, sleek, minimalistic.","Casual, Smart-casual occasions.","Solid, monochrome",流麗設計採用極致時尚的概念，將西裝結合街頭服飾靈感。彈性棉質恤衫採用寬鬆剪裁，正面飾以奪目的三角形標誌。,"NT$ 60,000",image/prada/man/9.jpg
76,羊絨皮背心,黑色,綿羊皮,"Minimalist, contemporary, sleek.","Casual, outdoor, cold-weather.","Solid, black",羊絨皮背心展現高雅而富運動風的魅力。柔軟的材質與經典的細節共冶一爐，不斷糅合各種美學風格，彰顯品牌的混搭魅力。皮革三角形標誌點綴服飾的正面。,"NT$ 210,000",image/prada/man/10.jpg
77,再生尼龍恤衫,黑色,尼龍,"Classic, sleek, contemporary, minimalist.",Casual wear.,"Solid, monochrome.",恤衫造型時尚，創新的再生尼龍面料所用的紗線以回收海洋塑膠廢料製造。恤衫線條筆直，綴有鈕扣開合、經典衣領及飾以經典三角形標誌的襟袋等簡約細節。,"NT$ 66,000",image/prada/man/11.jpg
